ATT_NAME_TH,ATT_NAME_EN,ATT_NEARBY_LOCATION,ATT_ADDRESS,REGION_NAME_TH,SUBDISTRICT_NAME_TH,DISTRICT_NAME_TH,PROVINCE_NAME_TH,ATTR_CATAGORY_TH,ATTR_SUB_TYPE_TH,ATT_START_END,ATT_DETAIL_TH,ATT_LOCATION,LATITUDE_LOCATION,LONGITUDE_LOCATION
สวนชมพู่ลุงไพฑูรย์,,,,ภาคกลาง,ท่าแร้ง,บ้านแหลม,เพชรบุรี,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,ไร่/สวนเกษตร (ฟาร์มสัตว์/ประมง),09.00   17.00 น.,อยู่ริมน้ำแม่น้ำเพชรบุรี ชิมรสชาติผลไม้ GI ของเพชรบุรี (หมายเหตุ เปิดเฉพาะฤดูกาลที่มีผลชมพู่ ประมาณเดือนมีนาคม),"13.1352537, 99.95070220000001",13.1352537,99.9507022
ศูนย์สืบทอดศิลปผ้าจก ราชบุรี,Ratchaburi Pha Chok Art Centre,อยู่ภายในวัดแคทราย ถนนเพชรเกษม ตำบลคูบัว อำเภอเมืองราชบุรี อยู่ห่างจากตัวจังหวัดประมาณ 8 กิโลเมตร,หมู่ 13,ภาคกลาง,,เมืองราชบุรี,ราชบุรี,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ศูนย์หัตถกรรม,08.30 17.00 น.,อยู่ภายในวัดแคทราย ถนนเพชรเกษม ตำบลคูบัว อำเภอเมืองราชบุรี อยู่ห่างจากตัวจังหวัดประมาณ 8 กิโลเมตร เป็นศูนย์รวบรวมข้อมูลเกี่ยวกับศิลปะผ้าจกไท ยวน เก็บรักษาตัวอย่างผ้าจกที่มีลวดลายดั้งเดิม       มีการสาธิตการทอผ้าและจำหน่ายสินค้าพื้นเมือง อาทิ ผ้าฝ้ายตีนจก เสื้อผ้าสำเร็จรูป ผ้าถุง ผ้าขาวม้า,"13.5504568, 99.8131947999999",13.5504568,99.8131948
พิพิธภัณฑ์หนังใหญ่วัดขนอน,Nang Yai Museum Wat Khanon ,ตั้งอยู่ที่วัดขนอน ตำบลสร้อยฟ้า ริมแม่น้ำแม่กลอง อยู่ห่างจากตัวอำเภอโพธารามประมาณ 10 กิโลเมตร,,ภาคกลาง,เขาชะงุ้ม,โพธาราม,ราชบุรี,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,พิพิธภัณฑ์,"ทุกวัน 08.00  17.00 น.
", วัดขนอน  ดูภายนอกอาจดูเป็นวัดธรรมดาทั่วไป แต่ถ้าเข้ามาดูข้างในจะพบกับความล้ำค่าทางวัฒนธรรม เพราะที่นี่มีศิลปะการแสดง  หนังใหญ่  โดยหนังใหญ่วัดขนอน ได้มีการสร้างขึ้นในสมัยรัชกาลที่ 5 เมื่อครั้งที่วัดนี้เป็นด่านเก็บภาษีอากร ได้มีคนนำรูปหนังมาถวายที่วัด จึงเป็นจุดเริ่มต้นของการสร้างหนังใหญ่ขึ้นมา ถึงแม้ความนิยมในการชมการแสดงหนังใหญ่น้อยลง แต่วัดขนอนยังคงรักษาวัฒนธรรมอันดีนี้ไว้ โดยทางวัดได้มีการจัดการแสดงหนังใหญ่ให้ผู้คนได้เข้าชมด้วย แต่จะมีแค่เฉพาะวันเสาร์ เวลา 10.00 11.00 น. เพียงเพื่อหวังว่าจะช่วยสืบสานวัฒนธรรมและรักษาหนังใหญ่ไว้ให้คนรุ่นหลังต่อไป ปัจจุบันที่นี่มีตัวหนัง 313 ตัว ที่ถือว่าเป็นสมบัติของวัดที่ได้สืบทอดและร่วมกันรักษา เป็นวัดเดียวที่มีมหรสพเป็นของวัด มีการจัดตั้งคณะหนังใหญ่ และมีพิพิธภัณฑ์สถานแสดงนิทรรศการหนังใหญ่  พิพิธภัณฑ์หนังใหญ่วัดขนอน  จนได้รับรางวัลจากยูเนสโก ได้รับการยกย่องให้เป็น 1 ใน 6 ชุมชนดีเด่นของโลกที่มีผลงานในการอนุรักษ์ฟื้นฟูมรดกวัฒนธรรมเชิงนามธรรม,"13.726442, 99.8448402",13.726442,99.8448402
ตลาดร่มหุบ,Maeklong Railway Market,บริเวณสถานีรถไฟแม่กลอง ตำบลแม่กลอง อำเภอเมืองสมุทรสงคราม,,ภาคกลาง,,เมืองสมุทรสงคราม,สมุทรสงคราม,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,ห้างสรรพสินค้า/แหล่งช้อปปิ้ง/ตลาดสด/ตลาดนัด/ถนนคนเดิน,ทุกวัน 05.00 17.00 น.,ตลาดร่มหุบ หรือตลาดแม่กลอง แต่ชาวบ้านที่นี่มักจะเรียกตลาดแห่งนี้กันว่า ‘ตลาดเสี่ยงตาย’ อยู่ในตัวตลาดเทศบาลจังหวัดสมุทรสงคราม มีเอกลักษณ์ที่แปลกไม่เหมือนกับตลาดแห่งไหนคือจะมีรถไฟวิ่งผ่ากลางตลาด เวลารถไฟมา เหล่าพ่อค้า แม่ขายจะรู้กันว่าถึงเวลาที่จะต้องยกของ แบกสัมภาระหลบ หุบร่ม เก็บกันสาด พอรถไฟผ่านไป หันกลับมาอีกทีอย่างกับเล่นมายากล ร่มกาง กันสาดบาน กระจาดผัดสด เข่งปลาทู ฯลฯ ออกมาตั้งอยู่ที่เดิม เหมือนไม่มีอะไรเกิดขึ้น,"13.40715,99.99912",13.40715,99.99912
โครงการศึกษาวิจัยและพัฒนาสิ่งแวดล้อมแหลมผักเบี้ย อันเนื่องมาจากพระราชดำริ,"The Leam Phak Bia Environmental Study, Research and Development Project under Royal Initiative Petchaburi Province",ตั้งอยู่ที่ตำบลแหลมผักเบี้ย อำเภอบ้านแหลม ,หมู่ 1 บ้านพะเนิน,ภาคกลาง,,บ้านแหลม,เพชรบุรี,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,โครงการหลวง/โครงการพระราชดำริ,"ทุกวัน 08.00 17.00 น.
","โครงการอันเนื่องมาจากพระราชดำริ แก้ไขปัญหาน้ำเสีย และขยะชุมชนที่ประหยัด สะดวก ทำได้ง่าย และสามารถนำไปประยุกต์ใช้กับพื้นที่อื่น ๆ ในประเทศได้อย่างกว้างขวาง ที่สำคัญคือไม่ต้องใช้เครื่องจักรแต่ใช้ธรรมชาติในการบำบัด และยังมีเส้นทางศึกษาธรรมชาติป่าชายเลนที่เปิดให้นักท่องเที่ยวเข้าชม ด้วยบรรยากาศร่มรื่นที่เหมาะสำหรับมาพักผ่อนหย่อนใจ มีมุมถ่ายรูปร่วมกับธรรมชาติสวยๆ  โดยโครงการนี้เกิดขึ้นได้จากพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (รัชกาลที่ 9) ทรงห่วงใยถึงปัญหาขยะและน้ำเน่าเสียในชุมชนและเมืองขนาดใหญ่ที่สร้างความเดือดร้อนต่อสภาพแวดล้อมอย่างรวดเร็ว ซึ่งส่งผลกระทบต่อคุณภาพชีวิตของประชาชนจึงทรงพระราชดำริให้ศึกษา และทดลองใช้เทคโนโลยีในการบำบัดน้ำเสียและบำบัดขยะ จัดอบรมความรู้เรื่องดังกล่าวแก่คนในชุมชน รวมถึงเยาวชนคนรุ่นใหม่
","13.0469607, 100.0843887",13.0469607,100.0843887
ตลาดมหาชัย ,Mahachai Market,ตั้งอยู่ริมแม่น้ำท่าจีน ใกล้กับป้อมวิเชียรโชฎกและศาลหลักเมือง ห่างจากศาลากลางจังหวัดประมาณ 200 เมตร ,,ภาคกลาง,,เมืองสมุทรสาคร,สมุทรสาคร,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,ห้างสรรพสินค้า/แหล่งช้อปปิ้ง/ตลาดสด/ตลาดนัด/ถนนคนเดิน,05.00 22.00 น.,เป็นตลาดที่รวมอาหารทะเลสดและแห้ง นอกจากนี้ยังเป็นศูนย์กลางการค้าการคมนาคมของสมุทรสาคร เนื่องจากการคมนาคมสัญจรมาสู่ตลาดมหาชัย เชื่อมโยงหลายเส้นทางเข้าด้วยกัน,"13.5453772, 100.2757308",13.5453772,100.2757308
ศูนย์แสดงพันธุ์สัตว์ป่าเขาประทับช้าง ,ไม่มี,ในเขตพื้นที่ของตำบลปากช่อง อำเภอจอมบึง อยู่ฝั่งตรงข้ามกับถ้ำเขาบิน,,ภาคกลาง,,จอมบึง,ราชบุรี,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,ศูนย์วิจัย (เกษตร)/สถานีทดลอง (เกษตร),เปิด ทุกวัน 08.30 – 16.00 น,ศูนย์แสดงพันธุ์สัตว์ป่าเขาประทับช้าง หรือ สวนสัตว์เปิดเขาประทับช้าง ตั้งอยู่ตำบลปากช่อง อำเภอจอมบึง จังหวัดราชบุรี มีเนื้อที่ประมาณ 30 ไร่ เป็นสถานีเดียวที่มีการเพาะแพร่พันธุ์เสือ นอกจากนี้มีสัตว์อื่นๆ อาทิเลียงผา กวาง นกกระจอกเทศ ไก่ต๊อก ฯลฯ ส่วนใหญ่เป็นสัตว์ที่ได้รับการบริจาค หรือถูกจับยึดมาได้ นำมาอภิบาลและขยายพันธุ์ เปิดให้เข้าชมทุกวันโดยที่ไม่เสียค่าเข้าชม โดยยินดีรับบริจาคเพื่อใช้เป็นค่าอาหารสัตว์และค่าบำรุงสวนสัตว์,"13.6118653, 99.6614683999999",13.6118653,99.6614684
ศูนย์วิจัยทรัพยากรป่าชายเลนที่ 2 (สมุทรสาคร),,ตั้งอยู่หมู่ 6 ตำบลบางหญ้าแพรก อำเภอเมืองสมุทรสาคร,120 หมู่ 6 บ้านหัวโพง ,ภาคกลาง,,เมืองสมุทรสาคร,สมุทรสาคร,แหล่งท่องเที่ยวทางธรรมชาติ,ศูนย์ศึกษาธรรมชาติ/พิพิธภัณธ์ธรรมชาติ (พืชพันธุ์),08.00 16.30 น.,"(ชื่อเดิม ศูนย์วิจัยและถ่ายทอดเทคโนโลยีทรัพยากรป่าชายเลนที่ 2 (สมุทรสาคร) และ ศูนย์ส่งเสริมการเรียนรู้และพัฒนาทรัพยากรป่าชายเลนที่ 2) ตั้งอยู่ตำบลบางหญ้าแพรก บริเวณปากแม่น้ำท่าจีนฝั่งขวา ในพื้นที่ป่าสงวนแห่งชาติป่าชายเลนปากอ่าวมหาชัยฝั่งตะวันตก เป็นแหล่งศึกษาค้นคว้าและวิจัยด้านธรรมชาติวิทยาของระบบนิเวศป่าชายเลนและปากแม่น้ำท่าจีน โดยมีเส้นทางเดินเท้ายาวประมาณ 300 เมตร เพื่อชมป่าโกงกางและสัตว์ชายเลนประเภทต่างๆ อาทิ ปลาตีน ปูก้ามดาบ ฯลฯ ก่อนเดินออกไปถึงระเบียงชายฝั่งที่เป็นจุดดูนกชายเลน ซึ่งเป็นจุดที่สามารถดูนกได้นับพันนับหมื่นตัว ในช่วงฤดูหนาวจะมีโอกาสเห็นนกท้องถิ่น และนกอพยพนับเป็นแสนๆ ตัว บางสายพันธุ์หายากติดอันดับโลก


","13.5395426, 100.2728984",13.5395426,100.2728984
หมู่บ้านชาวประมงท่าฉลอม,Thachalom Fisherman Village,ตั้งอยู่สะพานข้ามแม่น้ำท่าจีนแล้วแยกซ้ายเข้าตำบลท่าฉลอม,,ภาคกลาง,,เมืองสมุทรสาคร,สมุทรสาคร,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,หมู่บ้าน,,ตำบลท่าฉลอม เป็นเขตสุขาภิบาลแห่งแรกในประเทศไทย มีผู้ประกอบอาชีพประมงเป็นจำนวนมาก มีตลาดและกิจการต่อเรือที่ตั้งเรียงรายอยู่บนฝั่งแม่น้ำท่าจีน การเดินทางไปบ้านท่าฉลอม สามารถข้ามฟากที่ท่าเรือเทศบาลฝั่งมหาชัยใกล้กับศาลหลักเมือง หรือทางรถยนต์ตามเส้นทางสายธนบุรี ปากท่อเลยสี่แยกเข้าตำบลมหาชัยไปทางจังหวัดสมุทรสงคราม ประมาณ 3 กม. ข้ามสะพานข้ามแม่น้ำท่าจีนแล้วแยกซ้ายเข้าตำบลท่าฉลอม,"13.531523563574419,100.26432037353515",13.53152356,100.2643204
ฮาย ริเวอร์ คาเฟ่,High River Cafe,อยู่ในบริเวณเดียวกันกับ ดิแอนธีคริเวอร์ไซด์ รีสอร์ท อ.บ้านโป่ง, ,ภาคกลาง,,บ้านโป่ง,ราชบุรี,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,สวนสาธารณะ/สวนหย่อม,,"High River เป็นคาเฟ่ ที่มีคอนเซ็ปต์ว่า ”Every day is a festival at High River” ทุกๆ วันคือวันพิเศษที่ฮายริเวอร์ ไม่ต้องรอถึงวันสำคัญ ไม่ต้องรอถึงวันครบรอบ ก็เฉลิมฉลองให้กับชีวิตของเราได้ เพราะชีวิตเรา คือ festival ที่ยิ่งใหญ่ที่สุด ซึ่งคาเฟ่ของที่นี่จะมีการตกแต่งออกแนว festival แบบโบโฮ หรือ bohogypsy คือมีความอิสระ นอกจากนั้นชาวโบฮีเมี่ยนส่วนใหญ่ยังเป็นนักเดินทางหรือนักผจญภัยด้วย จึงนำแนวคิดนี้มาประยุกต์ตกแต่งร้าน High River ส่งผ่านแรงบันดาลใจความนิยมชอบให้กับนักท่องเที่ยวที่มาเยือน
","13.7658333, 99.8456484",13.7658333,99.8456484
